takeaway,noemail,age,male
1,0,28,Female
1,1,26,Female
0,1,38,Female
0,1,42,Female
0,1,42,Female
0,1,36,Female
0,1,37,Female
0,1,40,Female
1,1,35,Male
0,1,42,Male
1,0,42,Male
0,0,34,Female
1,1,27,Female
1,1,33,Male
1,1,38,Male
1,1,27,Female
1,0,43,Male
1,1,27,Female
1,1,44,Male
1,1,32,Female
1,0,37,Male
1,0,35,Male
1,0,27,Female
0,0,30,Female
0,1,42,Male
0,1,37,Male
1,1,26,Female
0,1,37,Male
1,1,42,Male
1,0,35,Male
1,1,45,Male
1,0,30,Male
0,1,34,Female
1,1,45,Female
1,0,32,Male
1,0,27,Male
0,0,36,Male
1,0,40,Male
1,1,28,Male
0,1,44,Male
1,0,29,Female
1,1,27,Female
1,1,52,Male
1,1,48,Female
1,1,51,Male
1,1,41,Female
1,0,48,Female
1,0,40,Male
1,0,47,Male
1,1,50,Male
1,1,49,Female
0,0,51,Female
1,0,53,Male
1,1,26,Male
1,1,19,Female
1,1,29,Female
1,1,39,Female
1,1,45,Female
1,1,46,Male
0,0,50,Male
0,0,36,Male
1,0,26,Male
1,0,20,Female
1,1,49,Male
1,0,48,Male
1,0,23,Female
0,0,25,Female
1,1,46,Female
1,0,41,Female
1,1,27,Male
1,1,37,Female
1,1,28,Male
1,1,20,Female
0,0,37,Female
1,0,23,Female
1,1,39,Male
1,1,21,Female
1,1,39,Female
1,0,23,Female
1,1,32,Male
1,0,21,Female
0,0,22,Female
1,0,41,Male
1,1,27,Female
1,0,19,Female
1,0,28,Male
0,0,21,Female
1,1,22,Female
1,1,39,Female
1,1,23,Female
1,0,53,Male
1,0,45,Female
1,0,21,Female
1,1,32,Female
1,0,47,Male
1,0,36,Female
1,0,23,Male
1,0,42,Male
1,1,21,Female
0,0,56,Male
0,0,27,Female
1,1,39,Female
1,0,21,Male
1,1,28,Female
1,1,29,Male
1,1,50,Male
1,0,30,Male
1,1,28,Female
1,1,40,Female
1,1,38,Female
1,1,38,Female
1,0,54,Male
1,1,22,Female
1,0,27,Male
0,0,30,Male
1,0,30,Female
1,1,43,Male
1,1,30,Male
1,1,42,Male
0,0,36,Female
1,1,28,Female
1,1,46,Male
1,1,38,Male
1,1,28,Female
0,0,40,Male
1,1,25,Male
1,0,29,Male
1,0,36,Female
1,1,29,Female
1,1,26,Female
1,1,53,Female
0,1,32,Female
1,1,28,Male
1,1,43,Male
1,0,27,Male
1,1,35,Male
0,0,49,Female
1,1,30,Female
1,1,36,Male
1,1,25,Female
0,0,41,Male
1,0,51,Male
1,0,32,Male
1,1,47,Male
1,1,45,Male
1,1,32,Female
1,1,42,Male
1,1,45,Male
0,0,37,Male
0,0,100,Male
1,1,34,Male
1,1,51,Male
1,1,23,Female
1,1,30,Female
1,0,30,Male
1,1,30,Male
1,1,39,Male
1,1,36,Male
1,1,26,Female
0,0,32,Male
1,1,29,Male
1,1,28,Female
1,0,29,Male
1,1,30,Female
1,1,35,Male
1,1,30,Female
1,0,27,Female
1,1,45,Male
1,1,32,Female
1,0,32,Female
1,1,34,Female
1,0,26,Male
1,0,38,Male
1,1,29,Male
1,1,29,Male
1,1,30,Male
1,0,28,Female
1,1,32,Female
1,1,46,Male
1,1,30,Female
1,1,34,Female
1,0,30,Female
1,1,33,Female
1,1,27,Female
1,1,29,Female
1,0,40,Male
1,1,32,Female
1,0,30,Male
0,0,47,Male
1,0,39,Female
1,1,27,Female
1,1,30,Female
1,1,44,Female
1,1,26,Male
1,1,30,Female
1,1,40,Female
1,1,29,Female
1,0,44,Male
1,1,32,Female
1,1,30,Female
1,1,24,Female
0,0,30,Male
1,1,32,Male
1,0,26,Female
1,1,28,Female
1,0,32,Male
1,1,27,Female
1,0,27,Female
1,1,29,Female
1,1,28,Male
1,1,27,Female
0,0,30,Male
1,1,29,Male
1,1,26,Female
1,1,29,Male
1,0,36,Female
1,0,30,Female
1,1,30,Female
1,1,29,Male
1,1,29,Female
1,1,28,Male
1,1,32,Male
0,0,38,Female
1,1,27,Female
0,0,100,Female
1,1,30,Male
1,1,28,Female
1,1,27,Female
1,1,32,Male
1,1,28,Male
0,1,36,Female
1,1,28,Female
1,1,46,Female
1,1,36,Male
1,1,30,Male
1,1,34,Female
1,1,32,Female
1,1,33,Female
1,0,27,Female
1,1,27,Female
0,1,30,Male
1,1,29,Female
0,0,36,Male
1,1,29,Female
0,0,32,Female
0,0,33,Male
1,1,33,Female
1,1,27,Male
0,1,47,Male
1,1,36,Male
0,0,34,Male
1,0,32,Female
1,1,32,Female
1,1,27,Female
0,0,30,Female
1,1,27,Female
0,0,34,Male
1,1,24,Female
1,1,48,Female
1,1,32,Male
1,1,27,Female
1,1,33,Female
1,1,30,Female
1,1,40,Male
1,1,33,Female
1,0,44,Female
1,1,36,Female
1,1,30,Male
1,1,26,Female
1,0,35,Female
1,0,36,Male
1,1,49,Male
1,1,29,Male
1,1,32,Female
0,1,42,Male
1,0,37,Male
1,1,30,Female
1,0,39,Male
1,0,37,Male
1,0,35,Male
1,1,37,Male
1,1,39,Male
1,1,39,Female
0,0,30,Female
1,1,29,Male
1,1,25,Female
1,0,38,Male
1,1,32,Female
1,0,28,Male
1,0,27,Male
1,0,37,Male
1,1,36,Male
1,1,35,Female
1,0,26,Female
1,1,30,Male
0,0,34,Female
1,1,97,Female
0,0,35,Female
0,0,33,Female
1,0,28,Female
1,1,32,Female
1,1,27,Female
1,1,35,Female
0,0,50,Male
1,1,29,Female
1,1,47,Female
1,1,27,Female
1,1,36,Male
1,1,51,Female
1,0,34,Male
1,1,29,Male
1,1,26,Female
1,1,35,Female
1,1,32,Male
1,1,33,Female
1,1,33,Female
1,0,18,Male
0,0,32,Female
1,1,35,Female
1,1,30,Female
1,1,39,Male
1,1,28,Female
1,1,28,Female
1,1,38,Female
0,0,29,Female
1,1,48,Female
1,1,52,Female
1,0,30,Male
1,1,29,Male
1,0,29,Male
1,0,35,Male
1,1,34,Female
1,1,26,Female
1,1,33,Female
1,1,36,Male
1,0,38,Male
1,1,28,Female
1,1,32,Female
1,1,32,Female
1,1,36,Male
1,1,51,Female
0,0,52,Male
1,1,30,Male
1,1,30,Male
1,1,30,Female
1,1,30,Female
1,1,29,Female
1,1,26,Male
0,0,28,Female
1,1,26,Female
1,1,35,Female
1,1,32,Male
1,1,34,Male
1,1,28,Female
1,1,29,Male
1,0,39,Female
1,1,33,Female
1,1,36,Male
0,1,30,Male
0,0,35,Female
1,0,28,Male
1,1,32,Female
1,1,32,Male
1,1,32,Male
1,0,35,Female
0,1,32,Male
1,0,30,Female
1,1,36,Female
1,1,28,Female
1,0,22,Female
1,1,33,Male
1,1,30,Female
1,1,34,Male
1,0,100,Female
1,1,46,Male
1,0,27,Female
1,1,30,Female
1,0,30,Female
1,1,25,Female
1,1,39,Female
1,0,28,Female
1,1,25,Female
1,1,34,Male
1,0,36,Male
1,1,28,Female
1,1,44,Male
1,0,50,Female
1,0,51,Female
0,0,26,Female
1,1,23,Male
1,1,26,Female
0,0,41,Male
0,0,53,Female
1,1,26,Male
1,1,36,Male
1,1,37,Female
0,0,35,Female
1,1,32,Male
1,1,32,Male
1,1,49,Male
1,0,32,Female
1,0,34,Male
1,0,23,Female
1,0,43,Male
1,1,43,Male
1,1,49,Male
1,1,40,Male
1,1,29,Male
0,0,29,Female
1,1,27,Male
1,1,51,Female
1,1,36,Male
0,0,43,Female
1,1,26,Female
0,1,35,Female
1,1,21,Female
1,1,32,Female
1,1,27,Male
1,1,27,Female
0,0,35,Female
1,0,22,Female
1,1,36,Female
1,1,29,Female
1,1,33,Female
1,1,36,Female
1,0,48,Male
1,1,36,Female
1,1,28,Female
1,1,34,Male
1,1,27,Female
0,0,24,Male
1,0,32,Female
0,0,22,Female
1,0,21,Female
1,0,51,Male
1,0,37,Male
0,1,30,Male
1,0,34,Female
1,1,30,Male
1,1,27,Female
1,1,23,Male
1,1,36,Female
1,0,38,Female
1,1,36,Female
1,0,48,Male
1,0,37,Female
1,1,32,Male
1,1,36,Female
1,0,27,Male
1,1,23,Male
1,1,28,Female
1,0,37,Female
1,1,22,Female
1,1,36,Female
1,1,29,Male
1,1,34,Female
1,1,29,Female
1,1,32,Male
1,1,25,Female
1,1,26,Male
1,0,46,Female
1,1,36,Male
1,1,22,Female
1,1,28,Female
1,1,33,Female
1,1,30,Female
1,0,26,Male
1,1,24,Male
1,0,29,Female
1,1,29,Male
1,0,34,Female
1,1,51,Male
0,0,26,Female
1,1,36,Female
1,0,20,Female
1,1,29,Male
0,0,32,Male
1,1,22,Male
0,0,44,Female
1,1,27,Female
1,1,19,Female
1,1,29,Male
1,0,32,Female
1,1,32,Female
1,1,18,Female
1,1,41,Male
1,1,36,Female
0,0,50,Female
1,1,22,Female
1,1,36,Female
1,1,30,Male
1,1,19,Female
1,1,21,Male
1,1,29,Male
1,1,29,Male
1,1,38,Female
1,0,32,Female
1,1,36,Female
0,1,34,Female
1,0,40,Male
1,1,30,Male
1,0,34,Female
1,1,26,Female
1,1,30,Female
1,0,50,Male
1,1,24,Male
1,1,21,Female
0,0,44,Female
1,0,39,Female
1,0,37,Female
1,1,25,Female
1,1,28,Female
1,1,36,Female
0,0,21,Male
1,0,36,Female
1,1,23,Female
1,1,34,Female
1,1,33,Female
1,1,28,Male
1,1,32,Female
0,0,35,Female
1,1,29,Male
0,0,35,Female
1,0,33,Female
1,1,32,Female
1,1,23,Male
1,1,20,Female
1,1,26,Female
0,0,40,Female
1,0,32,Male
0,0,30,Male
1,1,25,Male
1,0,25,Female
0,0,32,Male
1,1,50,Male
1,1,34,Female
1,1,20,Female
1,1,23,Male
0,0,30,Male
0,0,29,Female
0,0,28,Female
0,0,38,Female
1,1,30,Male
1,0,46,Female
1,0,26,Male
1,0,21,Female
1,1,32,Female
1,1,28,Male
1,0,22,Male
1,1,33,Male
1,1,41,Male
1,1,26,Female
1,1,24,Male
1,1,50,Female
1,1,23,Male
1,1,20,Male
1,1,21,Male
1,0,24,Male
1,1,28,Female
1,1,25,Female
0,0,32,Female
1,1,23,Female
1,0,28,Female
1,1,27,Male
1,0,34,Female
1,1,28,Male
1,1,24,Male
1,1,39,Female
1,1,26,Male
1,1,35,Male
1,1,37,Female
1,0,29,Female
1,1,54,Female
0,0,20,Female
1,0,37,Male
0,0,32,Female
1,1,52,Male
1,0,37,Female
1,1,25,Male
1,0,39,Female
1,0,20,Male
1,0,35,Male
1,0,26,Female
1,0,34,Female
1,1,39,Male
1,0,19,Female
1,1,29,Male
1,1,26,Female
1,0,20,Female
1,1,30,Male
1,0,33,Male
0,0,35,Female
0,0,50,Female
1,0,24,Female
1,0,27,Male
1,0,34,Male
1,1,36,Female
1,1,23,Female
1,1,36,Male
0,0,32,Female
1,1,33,Female
1,1,29,Male
1,1,20,Female
1,1,22,Female
1,0,34,Female
1,1,29,Female
0,0,51,Male
1,0,35,Female
1,0,36,Female
1,1,32,Male
1,0,37,Female
1,1,29,Male
1,1,29,Female
1,0,35,Female
1,1,22,Female
1,1,29,Female
1,1,45,Female
0,0,30,Female
0,0,28,Female
1,0,24,Female
1,1,26,Female
1,0,24,Male
1,1,21,Male
1,0,37,Male
1,1,36,Male
1,1,26,Female
1,0,24,Male
1,0,39,Male
1,1,25,Male
1,0,37,Male
1,1,32,Female
1,1,32,Female
1,0,34,Female
1,0,24,Female
1,1,32,Female
1,1,21,Female
1,1,30,Female
1,1,52,Male
1,1,28,Female
1,1,32,Female
1,0,23,Male
1,0,30,Female
1,0,25,Female
1,1,18,Female
1,1,34,Female
1,1,25,Female
1,1,26,Male
1,1,32,Female
1,1,28,Male
1,1,52,Male
1,1,36,Female
1,1,29,Female
0,0,35,Female
1,1,25,Male
1,0,32,Male
1,0,34,Female
0,0,32,Female
1,1,26,Male
1,1,34,Male
1,1,20,Female
1,1,54,Female
0,1,27,Female
1,0,39,Male
1,1,21,Female
1,1,38,Male
1,1,25,Male
1,1,22,Female
1,1,24,Female
1,1,27,Male
1,0,26,Male
1,0,22,Male
1,0,46,Female
0,1,36,Male
1,1,39,Male
1,1,26,Female
1,1,30,Female
1,1,28,Male
1,0,26,Male
1,1,27,Female
0,0,37,Female
1,0,26,Female
1,1,35,Female
1,1,34,Female
