id,city,institution,money,dropoff_day,email,wallet_recovery,wallet_totalrecovery,male,age40,computer,coworkers,other_bystanders,security_cam,security_guard,english,understood_situation,busy,hotel,bank,cultural,public,postal,name_owner,record,o_male,o_age40,o_computer,o_coworkers,o_other_bystanders,o_employees_handle,o_security_cam,o_security_guard,o_english,o_understood_situation,o_busy,revisit_day,r_employees_handle,r_hnsty_nocontact,r_hnsty_takeaway,r_knwres,keymissing,cardmissing,notemissing,moneymissing,wcovermissing,wavialabel,rice,cis
28_001,Chengdu,Hotel,Money,28Aug2019,0,100,100,1,smaller than 40,1,1,,,0,1,4,4,1,0,0,0,0,Li Qiang,1,1,smaller than 40,1,1,0,3 or more,1,0,1,5,1,05Sep2019,2,0,0,0,0,0,0,0,0,0,50.99,4.02
28_002,Chengdu,Cultural Attractions,No Money,28Aug2019,0,100,100,1,smaller than 40,1,0,1,,,0,5,6,0,0,1,0,0,Chang Wei,0,,,,,,,1,0,,,,05Sep2019,2,3,0,0,0,0,0,,0,0,50.99,4.02
28_003,Chengdu,Public Place,No Money,28Aug2019,0,100,100,1,smaller than 40,1,0,0,,0,0,6,3,0,0,0,1,0,Wang Lei,0,,,,,,,1,0,,,,05Sep2019,1,2,3,0,0,0,0,,0,0,50.99,4.02
28_004,Chengdu,Public Place,Money,28Aug2019,100,100,100,1,smaller than 40,1,1,1,1,1,1,6,2,0,0,0,1,0,Chang Wei,1,1,smaller than 40,1,1,0,3 or more,1,0,1,6,0,05Sep2019,2,0,6,0,0,0,0,0,0,0,50.99,4.02
28_005,Chengdu,Cultural Attractions,Money,28Aug2019,0,100,100,0,smaller than 40,1,1,1,,0,0,5,5,0,0,1,0,0,Wang Lei,1,0,smaller than 40,1,1,0,2,1,0,0,6,4,05Sep2019,2,1,3,1,0,0,0,0,0,0,50.99,4.02
28_006,Chengdu,Postal Office,No Money,28Aug2019,0,100,100,1,smaller than 40,0,0,1,,0,0,3,5,0,0,0,0,1,Li Qiang,0,,,,,,,1,0,,,,05Sep2019,1,3,6,0,0,0,0,,0,0,50.99,4.02
28_007,Chengdu,Public Place,Money,28Aug2019,0,100,0,0,smaller than 40,1,1,1,,,0,6,4,0,0,0,1,0,Chang Wei,1,0,smaller than 40,1,1,1,3 or more,1,0,0,6,3,05Sep2019,,,,,0,0,0,1,0,0,50.99,4.02
28_008,Chengdu,Postal Office,No Money,28Aug2019,0,100,100,0,smaller than 40,1,1,1,,,0,4,4,0,0,0,0,1,Wang Lei,0,,,,,,,1,0,,,,05Sep2019,2,3,3,0,0,0,0,,0,0,50.99,4.02
28_009,Chengdu,Hotel,No Money,28Aug2019,0,100,100,0,smaller than 40,1,0,1,,,0,6,0,1,0,0,0,0,Li Qiang,1,0,smaller than 40,1,0,1,1,1,0,0,6,1,05Sep2019,1,0,6,0,0,0,0,,0,0,50.99,4.02
28_010,Chengdu,Bank,Money,29Aug2019,100,100,100,0,smaller than 40,0,1,1,1,1,0,6,5,0,1,0,0,0,Chang Wei,0,,,,,,,1,0,,,,05Sep2019,2,3,6,0,0,0,0,0,0,0,50.99,4.02
28_011,Chengdu,Public Place,Money,29Aug2019,0,100,100,1,smaller than 40,1,0,1,1,1,0,6,4,0,0,0,1,0,Li Qiang,1,1,smaller than 40,1,1,0,2,1,0,0,6,0,05Sep2019,2,,,0,0,0,0,0,0,0,50.99,4.02
28_012,Chengdu,Public Place,No Money,29Aug2019,100,0,0,0,40+,1,1,1,,,0,6,6,0,0,0,1,0,Wang Lei,0,,,,,,,1,0,,,,05Sep2019,3 or more,6,6,0,1,1,1,,1,0,50.99,4.02
28_013,Chengdu,Bank,No Money,29Aug2019,0,100,100,0,smaller than 40,0,0,1,1,,1,6,2,0,1,0,0,0,Li Qiang,0,,,,,,,1,0,,,,05Sep2019,2,6,,0,0,0,0,,0,0,50.99,4.02
28_014,Chengdu,Bank,Money,29Aug2019,0,100,100,1,smaller than 40,0,1,0,1,,0,6,3,0,1,0,0,0,Wang Lei,1,1,smaller than 40,,1,0,1,1,0,0,6,0,05Sep2019,9,0,6,0,0,0,0,0,0,0,50.99,4.02
28_015,Chengdu,Bank,Money,29Aug2019,0,100,100,0,smaller than 40,1,1,,1,1,0,5,5,0,1,0,0,0,Chang Wei,0,,,,,,,1,0,,,,05Sep2019,2,5,6,0,0,0,0,0,0,0,50.99,4.02
28_016,Chengdu,Cultural Attractions,No Money,29Aug2019,100,100,100,0,smaller than 40,1,1,1,,0,0,5,2,0,0,1,0,0,Chang Wei,1,0,smaller than 40,1,1,1,3 or more,1,0,0,6,0,05Sep2019,3 or more,3,6,0,0,0,0,,0,0,50.99,4.02
28_017,Chengdu,Bank,No Money,29Aug2019,0,100,100,0,smaller than 40,1,1,1,1,1,0,0,6,0,1,0,0,0,Li Qiang,0,,,,,,,1,0,,,,05Sep2019,,,,,0,0,0,,0,0,50.99,4.02
28_018,Chengdu,Hotel,Money,29Aug2019,0,100,100,0,smaller than 40,1,0,1,,,1,6,4,1,0,0,0,0,Wang Lei,1,0,smaller than 40,1,0,1,1,1,0,1,6,0,05Sep2019,9,6,6,0,0,0,0,0,0,0,50.99,4.02
28_019,Chengdu,Postal Office,Money,29Aug2019,0,100,0,0,smaller than 40,1,1,1,,0,0,5,5,0,0,0,0,1,Li Qiang,0,,,,,,,1,0,,,,05Sep2019,2,1,3,0,0,0,0,1,0,0,50.99,4.02
28_020,Chengdu,Bank,No Money,30Aug2019,0,100,100,0,smaller than 40,1,1,,1,1,0,6,6,0,1,0,0,0,Chang Wei,1,0,smaller than 40,0,1,0,3 or more,1,0,1,6,0,09Sep2019,2,3,3,0,0,0,0,,0,0,50.99,4.02
28_021,Chengdu,Public Place,No Money,30Aug2019,0,100,100,1,smaller than 40,1,1,1,,0,0,6,6,0,0,0,1,0,Wang Lei,0,,,,,,,1,0,,,,09Sep2019,9,6,0,0,0,0,0,,0,0,50.99,4.02
28_022,Chengdu,Postal Office,Money,30Aug2019,0,100,100,1,smaller than 40,1,0,0,,0,0,5,3,0,0,0,0,1,Chang Wei,1,1,smaller than 40,1,0,0,1,,0,0,3,1,09Sep2019,9,6,6,0,0,0,0,0,0,0,50.99,4.02
28_023,Chengdu,Cultural Attractions,Money,30Aug2019,0,100,100,1,smaller than 40,1,1,1,,1,0,5,5,0,0,1,0,0,Wang Lei,1,1,smaller than 40,1,1,1,2,1,1,0,6,4,09Sep2019,3 or more,6,0,0,0,0,0,0,0,0,50.99,4.02
28_024,Chengdu,Postal Office,No Money,30Aug2019,0,100,100,0,40+,1,1,1,,0,0,6,5,0,0,0,0,1,Li Qiang,0,,,,,,,1,0,,,,09Sep2019,2,0,0,0,0,0,0,,0,0,50.99,4.02
28_025,Chengdu,Postal Office,Money,30Aug2019,0,100,0,1,40+,1,1,0,,0,0,5,3,0,0,0,0,1,Chang Wei,0,,,,,,,1,0,,,,09Sep2019,9,3,6,0,0,0,0,1,0,0,50.99,4.02
28_026,Chengdu,Bank,No Money,30Aug2019,100,100,100,0,smaller than 40,0,1,1,1,1,1,6,5,0,1,0,0,0,Wang Lei,1,0,smaller than 40,,,1,9,1,0,,6,0,09Sep2019,1,0,6,0,0,0,0,,0,0,50.99,4.02
28_027,Chengdu,Postal Office,Money,30Aug2019,0,100,100,0,smaller than 40,1,1,1,,,0,5,5,0,0,0,0,1,Li Qiang,1,0,smaller than 40,1,1,1,2,1,0,0,6,3,09Sep2019,9,3,6,0,0,0,0,0,0,0,50.99,4.02
28_028,Chengdu,Public Place,No Money,30Aug2019,0,0,0,0,smaller than 40,1,1,1,,1,0,6,6,0,0,0,1,0,Li Qiang,0,,,,,,,1,0,,,,09Sep2019,2,2,6,0,1,1,1,,1,0,50.99,4.02
28_029,Chengdu,Bank,No Money,30Aug2019,100,100,100,1,smaller than 40,1,1,1,1,1,0,5,6,0,1,0,0,0,Chang Wei,0,,,,,,,1,0,,,,09Sep2019,3 or more,0,6,0,0,0,0,,0,0,50.99,4.02
28_030,Chengdu,Cultural Attractions,Money,30Aug2019,0,100,100,1,smaller than 40,1,0,1,,0,0,6,2,0,0,1,0,0,Wang Lei,1,1,smaller than 40,1,0,1,1,1,0,0,6,0,09Sep2019,1,3,0,0,0,0,0,0,0,0,50.99,4.02
28_031,Chengdu,Postal Office,No Money,02Sep2019,0,100,100,1,smaller than 40,0,0,1,1,1,0,6,4,0,0,0,0,1,Li Qiang,0,,,,,,,1,0,,,,09Sep2019,1,0,6,0,0,0,0,,0,0,50.99,4.02
28₋032,Chengdu,Postal Office,Money,02Sep2019,0,100,0,1,smaller than 40,0,1,0,,0,0,6,5,0,0,0,0,1,Wang Lei,1,1,40+,0,1,0,2,1,0,0,6,0,09Sep2019,,,,,0,1,1,0,0,0,50.99,4.02
